n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
368,57998.0,155455.0,97457.0,1.5951137424710384,0.421195652173913,157.60326086956522,1002.9354838709677,-457.54460093896716,9290.0,7275.0,0.0929,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.33658057174385325,6.243057050592035,58.94548087865099,2.0492587066523846,2012-01-11 12:30:00,2021-04-14 19:00:00,MAC,5,16.0,30.0,5.0,2.0,0.5,1.0,1000,0,0.0,141,-18149.0,87340.0,105489.0,0.8279536254964973,0.1773049645390071,-128.7163120567376,3493.6,-909.3879310344828,38168.0,37283.0,0.38168,5,3,0.6,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,66243.0,169790.0,103547.0,1.6397384762475011,0.43478260869565216,180.00815217391303,1061.1875,-497.82211538461536,12938.0,11095.0,0.12938,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.29468774059145875,5.1200340083475036,71.87452259106622,1.983344003040273,2012-01-11 12:30:00,2021-04-14 19:00:00,MAC,5,16.0,30.0,5.0,2.0,0.5,1.0,1500,0,0.0,141,-10099.0,121782.0,131881.0,0.9234233892675973,0.2624113475177305,-71.62411347517731,3291.4054054054054,-1268.0865384615386,36948.0,36063.0,0.36948,5,2,0.4,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,59003.0,169790.0,110787.0,1.5325805374276766,0.43478260869565216,160.33423913043478,1061.1875,-532.6298076923077,13238.0,12295.0,0.13238,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.33084758402115144,4.45709321649796,82.56502211751945,1.7464434744311057,2012-01-11 12:30:00,2021-04-14 19:00:00,MAC,5,16.0,30.0,5.0,2.0,0.5,1.0,2000,0,0.0,141,-28659.0,128715.0,157374.0,0.8178924091654276,0.28368794326241137,-203.25531914893617,3217.875,-1558.1584158415842,47638.0,45603.0,0.47638,5,2,0.4,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,75241.0,208714.0,133473.0,1.5637170064357586,0.4048059149722736,139.07763401109057,953.0319634703196,-414.5124223602484,10292.0,9323.0,0.10292,10,8,0.8,54.1,14.01748907615055,0.25910331009520426,19,0.24615568639438604,7.310629615235134,74.00183410640476,1.718093726605873,2012-01-11 11:00:00,2021-05-12 12:00:00,MAC,5,5.0,40.0,2.0,2.0,0.5,1.0,1000,0,0.0,191,33506.0,156960.0,123454.0,1.2714047337469827,0.2617801047120419,175.4240837696335,3139.2,-875.5602836879433,24978.0,24623.0,0.24978,5,3,0.6,38.2,15.315351775261318,0.4009254391429664,20,0.2828150182056945,1.3414204499959965,142.38637855906404,1.3910727180884879,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,57392.0,166677.0,109285.0,1.5251589879672416,0.4174757281553398,139.3009708737864,969.0523255813954,-455.3541666666667,10852.0,9850.0,0.10852,10,6,0.6,41.2,10.225458424931373,0.24819073846920808,15,0.34013451352104823,5.288610394397346,77.9032617786451,1.6758637142514838,2012-01-11 12:30:00,2021-04-29 16:30:00,MAC,5,16.0,30.0,5.0,1.6,0.5,1.0,1000,0,0.0,153,-23852.0,91727.0,115579.0,0.7936303307694305,0.17647058823529413,-155.8954248366013,3397.296296296296,-917.2936507936508,38683.0,37793.0,0.38683,5,3,0.6,30.6,11.271202242884296,0.3683399425779182,18,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,43768.0,141225.0,97457.0,1.4491006289953519,0.421195652173913,118.93478260869566,911.1290322580645,-457.54460093896716,8492.0,7275.0,0.08492,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.22735788704076038,5.154027319830429,71.40047523304698,1.6174964543009083,2012-01-11 12:30:00,2021-04-14 19:00:00,MAC,5,16.0,30.0,5.0,2.0,0.5,1.0,1000,0,4000.0,141,-15944.0,85218.0,101162.0,0.8423914117949428,0.19858156028368795,-113.07801418439716,3043.5,-895.2389380530974,36353.0,35468.0,0.36353,5,3,0.6,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,64992.0,181088.0,116096.0,1.5598125689084896,0.4320388349514563,157.74757281553397,1017.3483146067416,-496.13675213675214,15243.0,13400.0,0.15243,10,6,0.6,41.2,10.225458424931373,0.24819073846920808,15,0.3003600443131462,4.26372761267467,96.62906203840473,1.6012786303052746,2012-01-11 12:30:00,2021-04-29 17:00:00,MAC,5,16.0,30.0,5.0,1.6,0.5,1.0,1500,0,0.0,153,-6612.0,132398.0,139010.0,0.9524350766131933,0.28104575163398693,-43.21568627450981,3079.0232558139537,-1263.7272727272727,33445.0,31608.0,0.33445,5,2,0.4,30.6,11.271202242884296,0.3683399425779182,18,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,43258.0,140715.0,97457.0,1.443867551843377,0.421195652173913,117.54891304347827,907.8387096774194,-457.54460093896716,8492.0,7275.0,0.08492,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.13849461371307042,5.093970796043335,72.24226732627491,1.5986488215168317,2012-01-11 12:30:00,2021-04-14 19:00:00,MAC,5,16.0,30.0,5.0,2.0,0.5,1.0,1000,6000,0.0,141,-22774.0,82715.0,105489.0,0.7841101915839567,0.1773049645390071,-161.5177304964539,3308.6,-909.3879310344828,38168.0,37283.0,0.38168,5,2,0.4,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,51168.0,154715.0,103547.0,1.4941524138796876,0.43478260869565216,139.04347826086956,966.96875,-497.82211538461536,12938.0,11095.0,0.12938,10,6,0.6,36.8,9.019977827023746,0.2451080931256453,14,0.11708489681050657,3.95486164785902,93.05003126954347,1.5319919983630677,2012-01-11 12:30:00,2021-04-14 19:00:00,MAC,5,16.0,30.0,5.0,2.0,0.5,1.0,1500,6000,0.0,141,-12074.0,119807.0,131881.0,0.9084477673053738,0.2624113475177305,-85.63120567375887,3238.027027027027,-1268.0865384615386,39073.0,38188.0,0.39073,5,2,0.4,28.2,10.57166022912201,0.37488156840858194,17,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,53346.0,159333.0,105987.0,1.503325879589006,0.4121996303142329,98.60628465804066,714.4977578475336,-333.29245283018867,6629.0,5642.0,0.06629,10,9,0.9,54.1,14.01748907615055,0.25910331009520426,19,0.12036516327372249,8.047367627093076,67.22695234881715,1.5178191677125272,2012-01-11 11:00:00,2021-05-12 11:00:00,MAC,5,5.0,40.0,2.0,2.0,0.5,1.0,3000,0,1000.0,191,23861.0,99949.0,76088.0,1.313597413521186,0.41361256544502617,124.92670157068063,1265.1772151898733,-679.3571428571429,17350.0,15981.0,0.1735,5,2,0.4,38.2,15.315351775261318,0.4009254391429664,20,0.22572398474498134,1.3752737752161384,138.88143833032981,1.1886253297861769,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
