# Misure di spread del broker FTMO, unite dal server Piootoo. Ogni simbolo porta la finestra in cui
# e' stato misurato (firstTickUtc/lastTickUtc): i simboli non si confrontano fra loro su periodi diversi.
# Il backtest legge solo il file spread-by-symbol piu' recente: le misure non rifatte restano qui, gli originali in storico/.
# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM, finestra UTC 2026-08-01 -> 2026-09-01
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
# 2026-09-24 07:34Z: @AP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:35Z: @BP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:36Z: @BRN dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @BTC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @C dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @CC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CL dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CT dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:44Z: @ES dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:45Z: @ETH dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMOPLATFORM,@HK,1,215362,0.01,6.00,6.84,6.68,6.84,6.84,7.84,600,684,668.47,684,684,784,0
FTMOPLATFORM,@HK,2,209851,0.01,6.00,6.00,6.17,6.74,6.84,6.84,600,600,616.62,674,684,684,0
FTMOPLATFORM,@HK,3,112263,0.01,6.00,6.00,6.00,6.00,6.14,6.54,600,600,600.34,600,614,654,0
FTMOPLATFORM,@HK,4,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@HK,5,119261,0.01,6.00,6.00,6.21,6.84,6.84,6.84,600,600,620.97,684,684,684,0
FTMOPLATFORM,@HK,6,105388,0.01,6.00,6.00,6.03,6.00,6.84,6.84,600,600,602.55,600,684,684,0
FTMOPLATFORM,@HK,7,89368,0.01,6.00,6.00,6.02,6.00,6.74,6.84,600,600,602.30,600,674,684,0
FTMOPLATFORM,@HK,8,39095,0.01,6.00,6.00,6.06,6.00,6.84,6.84,600,600,605.75,600,684,684,0
FTMOPLATFORM,@HK,9,32081,0.01,6.00,6.00,6.49,8.04,9.84,9.84,600,600,648.71,804,984,984,0
FTMOPLATFORM,@HK,10,41505,0.01,6.00,6.00,6.54,8.64,9.84,9.84,600,600,654.38,864,984,984,0
FTMOPLATFORM,@HK,11,51229,0.01,6.00,6.00,6.52,8.34,9.84,9.84,600,600,652.14,834,984,984,0
FTMOPLATFORM,@HK,12,68171,0.01,6.00,6.04,6.89,9.74,10.58,24.94,600,604,689.18,974,1058,2494,0
FTMOPLATFORM,@HK,13,131318,0.01,6.00,9.24,8.50,9.84,9.84,11.36,600,924,849.64,984,984,1136,0
FTMOPLATFORM,@HK,14,126981,0.01,6.00,7.34,7.64,9.64,9.84,21.58,600,734,764.01,964,984,2158,0
FTMOPLATFORM,@HK,15,91102,0.01,6.00,6.34,6.71,7.94,9.84,9.84,600,634,671.32,794,984,984,0
FTMOPLATFORM,@HK,16,62999,0.01,6.00,6.00,6.38,7.24,9.84,9.84,600,600,637.81,724,984,984,0
FTMOPLATFORM,@HK,17,49290,0.01,6.00,6.00,6.15,6.24,9.04,9.84,600,600,614.55,624,904,984,0
FTMOPLATFORM,@HK,18,44200,0.01,6.00,6.00,6.10,6.14,7.74,15.84,600,600,609.64,614,774,1584,0
FTMOPLATFORM,@HK,19,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@HK,20,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@HK,21,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@HK,22,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@HK,23,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@HO,0,23610,0.001,0.033,0.033,0.033,0.034,0.035,0.035,33,33,33.28,34,35,35,0
FTMOPLATFORM,@HO,1,46916,0.001,0.033,0.033,0.033,0.034,0.035,0.035,33,33,33.44,34,35,35,0
FTMOPLATFORM,@HO,2,28340,0.001,0.033,0.033,0.033,0.034,0.035,0.035,33,33,33.28,34,35,35,0
FTMOPLATFORM,@HO,3,20469,0.001,0.033,0.033,0.033,0.034,0.034,0.034,33,33,33.17,34,34,34,0
FTMOPLATFORM,@HO,4,14371,0.001,0.033,0.033,0.033,0.034,0.035,0.037,33,33,33.24,34,35,37,0
FTMOPLATFORM,@HO,5,29309,0.001,0.033,0.033,0.033,0.034,0.035,0.037,33,33,33.35,34,35,37,0
FTMOPLATFORM,@HO,6,42860,0.001,0.033,0.034,0.034,0.034,0.035,0.035,33,34,33.56,34,35,35,0
FTMOPLATFORM,@HO,7,54287,0.001,0.033,0.034,0.034,0.035,0.035,0.038,33,34,33.82,35,35,38,0
FTMOPLATFORM,@HO,8,68283,0.001,0.033,0.034,0.034,0.035,0.035,0.036,33,34,34.07,35,35,36,0
FTMOPLATFORM,@HO,9,51970,0.001,0.033,0.034,0.034,0.035,0.035,0.035,33,34,33.74,35,35,35,0
FTMOPLATFORM,@HO,10,48566,0.001,0.033,0.034,0.034,0.035,0.035,0.037,33,34,33.73,35,35,37,0
FTMOPLATFORM,@HO,11,44883,0.001,0.033,0.034,0.034,0.035,0.035,0.036,33,34,33.74,35,35,36,0
