entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-10 10:30:00,2012-01-11 11:00:00,L,4588.75,4589.25,6.0,48,MAXBARS
2012-01-12 11:00:00,2012-01-13 11:30:00,L,4598.5,4605.5,136.0,48,MAXBARS
2012-01-13 12:00:00,2012-01-13 16:00:00,L,4608.25,4583.0,-509.0,8,SL
2012-01-17 03:00:00,2012-01-18 03:30:00,L,4610.75,4616.25,106.0,48,MAXBARS
2012-01-18 11:30:00,2012-01-19 12:00:00,L,4626.25,4650.75,486.0,48,MAXBARS
2012-01-19 12:30:00,2012-01-20 13:00:00,L,4651.25,4651.75,6.0,48,MAXBARS
2012-01-23 12:00:00,2012-01-24 12:30:00,L,4662.25,4649.25,-264.0,48,MAXBARS
2012-01-24 23:00:00,2012-01-25 23:30:00,L,4677.5,4683.75,121.0,48,MAXBARS
2012-01-26 12:00:00,2012-01-26 21:30:00,L,4692.5,4667.25,-509.0,19,SL
2012-01-31 02:00:00,2012-02-01 02:30:00,L,4690.75,4685.25,-114.0,48,MAXBARS
2012-02-02 02:00:00,2012-02-03 02:30:00,L,4719.5,4715.0,-94.0,48,MAXBARS
2012-02-03 12:00:00,2012-02-06 13:30:00,L,4726.0,4742.5,326.0,48,MAXBARS
2012-02-07 01:30:00,2012-02-08 02:00:00,L,4753.0,4753.0,-4.0,48,MAXBARS
2012-02-08 08:30:00,2012-02-09 09:00:00,L,4760.0,4767.5,146.0,48,MAXBARS
2012-02-09 11:00:00,2012-02-10 11:30:00,L,4772.75,4773.75,16.0,48,MAXBARS
2012-02-13 04:30:00,2012-02-14 05:00:00,L,4786.0,4790.25,81.0,48,MAXBARS
2012-02-14 11:30:00,2012-02-15 12:00:00,L,4796.5,4816.25,391.0,48,MAXBARS
2012-02-15 12:30:00,2012-02-15 19:30:00,L,4816.0,4790.75,-509.0,14,SL
2012-02-17 01:30:00,2012-02-20 03:00:00,L,4819.5,4821.25,31.0,48,MAXBARS
2012-02-20 03:30:00,2012-02-21 10:00:00,L,4822.75,4815.5,-149.0,48,MAXBARS
2012-02-23 22:30:00,2012-02-27 00:30:00,L,4825.75,4827.0,21.0,48,MAXBARS
2012-02-28 07:00:00,2012-02-29 07:30:00,L,4842.0,4856.25,281.0,48,MAXBARS
2012-02-29 08:30:00,2012-03-01 09:00:00,L,4860.25,4845.75,-294.0,48,MAXBARS
2012-03-01 21:30:00,2012-03-02 22:00:00,L,4870.5,4866.0,-94.0,48,MAXBARS
2012-03-12 15:00:00,2012-03-13 15:30:00,L,4874.75,4888.5,271.0,48,MAXBARS
2012-03-13 21:30:00,2012-03-14 22:00:00,L,4925.25,4930.25,96.0,48,MAXBARS
2012-03-14 22:30:00,2012-03-15 23:30:00,L,4931.0,4940.5,186.0,48,MAXBARS
2012-03-16 13:00:00,2012-03-19 14:30:00,L,4948.0,4943.5,-94.0,48,MAXBARS
2012-03-19 15:00:00,2012-03-20 15:30:00,L,4945.0,4943.0,-44.0,48,MAXBARS
2012-03-20 21:30:00,2012-03-21 22:00:00,L,4965.75,4965.0,-19.0,48,MAXBARS
2012-03-23 08:30:00,2012-03-23 15:30:00,L,4971.5,4946.25,-509.0,14,SL
2012-03-26 14:30:00,2012-03-27 15:00:00,L,4977.25,5007.75,606.0,48,MAXBARS
2012-03-27 21:30:00,2012-03-28 18:00:00,L,5018.25,4993.0,-509.0,40,SL
2012-03-30 12:00:00,2012-03-30 16:30:00,L,5004.0,4978.75,-509.0,9,SL
2012-04-02 21:30:00,2012-04-03 22:00:00,L,5013.25,5009.0,-89.0,48,MAXBARS
2012-04-12 21:30:00,2012-04-13 16:30:00,L,4967.25,4942.0,-509.0,37,SL
2012-04-17 21:30:00,2012-04-18 22:00:00,L,4954.75,4942.5,-249.0,48,MAXBARS
2012-04-25 10:00:00,2012-04-26 10:30:00,L,4905.75,4941.0,701.0,48,MAXBARS
2012-04-27 14:00:00,2012-04-30 15:30:00,L,4960.5,4958.0,-54.0,48,MAXBARS
