entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-13 02:00:00,2012-01-19 07:45:00,L,4608.25,4647.75,786.0,368,MAXBARS
2012-01-19 13:15:00,2012-01-25 13:15:00,L,4651.75,4676.5,491.0,368,MAXBARS
2012-01-31 01:45:00,2012-02-06 01:45:00,L,4690.75,4745.25,1086.0,368,MAXBARS
2012-02-08 14:30:00,2012-02-14 14:30:00,L,4760.0,4794.0,676.0,368,MAXBARS
2012-02-15 03:30:00,2012-02-21 09:00:00,L,4802.75,4816.25,266.0,368,MAXBARS
2012-02-24 00:30:00,2012-03-01 00:30:00,L,4829.5,4846.75,341.0,368,MAXBARS
2012-03-02 16:30:00,2012-03-08 17:00:00,L,4874.5,4851.75,-459.0,368,MAXBARS
2012-03-09 14:45:00,2012-03-15 13:45:00,L,4870.75,4941.75,1416.0,368,MAXBARS
2012-03-20 20:30:00,2012-03-26 21:30:00,L,4965.75,5001.25,706.0,368,MAXBARS
2012-03-27 00:45:00,2012-04-02 00:45:00,L,5009.75,4994.0,-319.0,368,MAXBARS
2012-04-09 03:15:00,2012-04-13 02:15:00,S,4949.25,4967.25,-364.0,368,MAXBARS
2012-04-13 03:30:00,2012-04-16 16:00:00,L,4971.0,4895.75,-1509.0,139,SL
2012-04-16 17:15:00,2012-04-20 16:15:00,S,4903.75,4935.5,-639.0,368,MAXBARS
2012-04-20 22:00:00,2012-04-26 21:45:00,S,4901.75,4951.25,-994.0,368,MAXBARS
2012-05-02 13:30:00,2012-05-08 13:30:00,S,4940.75,4853.25,1746.0,368,MAXBARS
2012-05-16 17:45:00,2012-05-22 17:45:00,S,4804.75,4786.25,366.0,368,MAXBARS
2012-05-24 13:15:00,2012-05-30 22:45:00,L,4783.0,4763.25,-399.0,368,MAXBARS
2012-05-31 16:00:00,2012-06-06 16:00:00,S,4750.5,4754.75,-89.0,368,MAXBARS
2012-06-07 00:30:00,2012-06-13 01:15:00,L,4784.25,4778.5,-119.0,368,MAXBARS
2012-06-18 00:30:00,2012-06-21 22:45:00,L,4819.25,4790.75,-574.0,368,MAXBARS
2012-06-22 13:45:00,2012-06-28 17:00:00,S,4784.75,4753.75,616.0,368,MAXBARS
2012-07-04 03:30:00,2012-07-10 09:15:00,L,4879.75,4836.0,-879.0,368,MAXBARS
2012-07-11 16:00:00,2012-07-17 16:00:00,S,4804.75,4816.75,-244.0,368,MAXBARS
2012-07-18 15:45:00,2012-07-24 15:30:00,L,4830.75,4822.75,-164.0,368,MAXBARS
2012-07-27 15:15:00,2012-08-02 15:15:00,L,4830.25,4845.25,296.0,368,MAXBARS
2012-08-02 15:30:00,2012-08-06 10:45:00,S,4845.25,4920.5,-1509.0,163,SL
2012-08-06 13:15:00,2012-08-10 12:15:00,L,4919.0,4947.0,556.0,368,MAXBARS
